Club Name,District,Project Category,Project Title,Project Description
Macon,Georgia,Community service,Teen Driving Roadeo,"""Having been held for the last 14 years, this event teaches all aspects of defensive, safe driving to all area teens with a drivers license or permit. Law enforcement agencies who get involved are the Macon/Bibb Police & Fire Depts., the GA State Patrol & other agencies."""
Carbondale,Illinois-Eastern Iowa,Community service,Kiwanis Playground Project,"""Carbondale Kiwanis raised funds through grants and fundraisers to replace the existing playground equipment at Turley Park with new All-Inclusive Equipment.  New equipment and surface were installed as well, and now we are raising funds to add benches to many of our playgrounds."""
Washington,Georgia,Community service,Spring Tour of Homes,"""Spring Festival and Tour of Homes"""
Kirksville,Missouri-Arkansas,Community service,Kirksville Kiwanis Farmers' Market,"""The Kirksville Kiwanis Club hosts the Kirksville Kiwanis Farmers Market on the downtown square each Saturday from May through October.  This is the longest continuous service project by any organization in the Kirksville area."""
"Cameron Heights, Kitchener",Eastern Canada and the Caribbean,Community service,hildren's Safety Village Memorial Chapel,""" Our club constructed a chapel (small Church) on the grounds of the Regional Police Safety Village at a cost of $12,000. During twice yearly open houses, organized by the Police Department, we open the Church to parents and children. At the same time we hand out literature ..."""
Huron,Minnesota-Dakotas,Community service,State Fair Pancake House,"""The Huron Kiwanis Club operates a Pancake House located on the midway of the South Dakota State Fair grounds.  We serve breakfast to thousands of people during the State Fair, and hundreds during other events throughout the year. Proceeds fund our charitable projects.  """
Monroe,Wisconsin-Upper Michigan,Community service,Kiwanis Youth Cabin,"""11 acres just outside Monroe on Youth Cabin Road.  Cabin has toilet facilities, weatherized building sleeps 30. Free to any youth group wishing to use it, we ask only that they leave it as they found it."""
Owosso,Michigan,Community service,Kiwanis Village,"""A senior citizen housing complex"""
Irvine-Ravenna,Kentucky-Tennessee,Community service,Annual TV/Radio Auction ,"""We hold an annual TV/Radio Auction to raise funds for our Service projects."""
Gloversville-Johnstown,New York,Community service,Feeding the Kiddie Soccer League from our Food Trailer ,"""On Saturday mornings, 7 or 8 in spring and again in fall, we sell from our food trailer at the kiddie soccer league at a reasonable price hot dogs, beverages, chips, cin buns.  The profits are used to sponsor a team and for community charitable purposes. """
San Luis Obispo,California-Nevada-Hawaii,Community service,Feed the Homeless at County Homeless Shelter,"""Feed the Homeless at County Homeless Shelter monthly, including their children"""
Grosse Ile,Michigan,Community service,US Flag Subscription Service,"""Display flags around community on 6 patriotic holidays throughout the year"""
Palo Alto,California-Nevada-Hawaii,Community service,Children's May Fete Fair,"""A Children's Fair in Heritage Park at the end of the City's Annual May Fete Parade.  Over 3,000 children and parents attend for two hours of fun and games.  Every child receives a prize and food trucks are available.  May of 2025 will be the fifteenth fair sponsored by our club."""
East Aurora,New York,Community service,100 Year Celebration,"""Event to Celebrate 100 Years of Kiwanis Service in the East Aurora Community"""
Newnan,Georgia,Community service,Coweta County Fair,"""Each year our club sponsors The Coweta County Fair to raise money to support over 40 non profit organizations in our community. The fair is a 10 day event and each member of our club works 6 shifts at the fair.The fair is a very worthwhile project for our club. """
Mifflinburg,Pennsylvania,Community service,"Christmas food boxes, swimming lessons and July 4th","""Our club organizes a food basket project during the Christmas season. Wealso provide free swimming lessons to beginning swimmers at our community pool.  We support our local library and provide special awards to our school students along with scholarships.                        """
Stuart,Florida,Community service,Kiwanis Park at Woodlawn,"""The Club started a park in 1990 in cooperation with the City of Stuart.  It started with 2 playgrounds and now has 4: 1 for tots, 1 for older kids, 1 permits kids with disabilities to play, and 1 for kids with sensory issues.  It is the most popular park in Martin County.  """
Southwest Chicago,Illinois-Eastern Iowa,Community service,Dreaming a Park for ALL Community Members,"""We have committed to enhancing Kennedy Park to reflect the diversity of the neighborhood and be open to all over time.  Plans include accessibility and maintenance in areas including:  playground, softball field, walking path extensions, landscaping, etc"""
Canandaigua,New York,Community service,Discover Canandaigua,"""A partnership with the Community to bring awareness to all of the Not-for-Profit and service Organizations in the Community.  """
Sapulpa,Texas-Oklahoma,Community service,Kelly Lane Park and Trails,"""In 2018 our club raised $100,000 to establish a new trail for Kelly Lane Park which has been completed. We funded the floating stage at KLP. We participate in the annual Halloween event at the park. We have hosted Kids' Fishing Derbys in July 2019 and May 2022."""
Genoa Area,Ohio,Community service,Halloween Costume Contest,"""Halloween Costume Contest"""
Lamesa,Texas-Oklahoma,Community service,American Flag Project,"""Public display of US flags in public areas"""
West Vancouver,Pacific Northwest,Community service,North Shore Kiwanis Housing Society,"""The North Shore Kiwanis Housing Society has operated Seniors Housing for over 600 Seniors since 1921. We have complete a new building for 100 more units in 2021, 2 new buildings are beginning construction this year mixed affordable housing completion 2026"""
Conneaut Lake,Pennsylvania,Community service,Memorial Day Observance,"""Responsible for all aspects of the program."""
"White Rock, Dallas",Texas-Oklahoma,Community service,Crayons & Coloring Books for Children's Hospitals,"""We've annually donated tens of thousands of coloring books and crayons for the Children's Hospital group in the Dallas area. """
Saginaw,Michigan,Community service,"Camp Kiwanis, Frankenmuth, MI","""A weekend camp for primarily Boy Scout groups, but also open to other organizations."""
Carrollton,Missouri-Arkansas,Community service,Kids Day Parade,"""The Kids Day Parade (K. One Day) is for kids, age 0-12, to show off their Halloween costumes.  The parade is held on our square in the morning of the Saturday before Halloween day.  Prize money is awarded, refreshments for all, Key Club, Builders Club, & merchants involved."""
Delano,California-Nevada-Hawaii,Community service,The Pumpkin Patch,"""The club provides a Pumpkin Patch for the community at the local Heritage Park Museum in Delano. For area schools, tours are provided over a two week prior to Halloween. Students come to the park and are provided an historical tour, storytime, crafts, activities, a pumpkin, gifts"""
East Yonkers,New York,Community service,90+ Luncheon,"""We celebrate the life of Yonkers residents who have reached the age of 90 or above. They receive a boutonniere or corsage, many proclamations, an elegant lunch and a performance by the local Irish Step dancers. Funds raised are used for scholarships and Kamp Kiwanis."""
Kingsway Humber,Eastern Canada and the Caribbean,Community service,Kiwanis Music Festival,"""Our signature project is the Kiwanis Music Festival. We support this project financially as well as with club person power."""
Kirtland,Ohio,Community service,Strawberry Festival,"""Annual Kirtland Kiwanis Strawberry Festival (Father's Day week)"""
Southwest Oklahoma City,Texas-Oklahoma,Community service,Grandparent Raising Grandkids,"""Assisting Grandparent with providing for Grandchildren"""
Kaneohe,California-Nevada-Hawaii,Community service,Kiwanis Family Dance,"""Monthly dance provided for special needs individuals held every third Friday"""
Kauai,California-Nevada-Hawaii,Community service,Koloa Plantation Days,"""Koloa Plantation Days is a 10-day, 30+ events celebration of Koloa Town's sugar plantation on Kaua'i Island. Kiwanis members and its SLPs-Key Clubs from Kapa'a HS and Kaua'i HS volunteer in many aspects of Koloa Plantation Days, including Board of Directors."""
Columbia Heights-Fridley,Minnesota-Dakotas,Community service,Staff Recycle Center,"""Members staff recycle center every Saturday from 9am to 1pm"""
Manotick,Eastern Canada and the Caribbean,Community service,Dickinson Days,"""Held the 1st weekend in June when visitors and residents flock to historic Manotick to take part in the celebration of Moss Kent Dickinson’s birthday, the founder of Manotick..Includes a parade, fireworks, kid's events, pancake breakfast, food/craft booths, stage shows, and more."""
